transaction_id,amount,currency_code,transaction_date,status
Invoice0000001,9408.77,JPY,2021-07-28 19:15:35,Approved
Invoice0000002,2336.67,RUB,2021-05-20 20:52:32,Failed
Invoice0000003,402.83,AUD,2021-04-09 20:58:22,Finished
Invoice0000004,63.03,PHP,2021-01-23 17:19:43,Failed
Invoice0000005,2219.37,CNY,2021-02-12 7:24:02,Finished
Invoice0000006,3398.49,PHP,2021-07-10 8:18:08,Approved
Invoice0000007,6668.59,CNY,2021-02-26 18:26:59,Approved
Invoice0000008,9334.08,RUB,2020-12-13 19:12:34,Approved
Invoice0000009,9716.89,PAB,2021-03-14 0:09:06,Approved
Invoice0000010,4059.16,IDR,2021-07-29 19:40:28,Finished
Invoice0000011,5352.38,USD,2021-01-23 12:12:52,Failed
Invoice0000012,2601.56,EUR,2020-12-20 0:29:36,Failed
Invoice0000013,2529.39,BRL,2021-05-18 16:58:43,Finished
